pickup_hour,day_of_week,total_trips,avg_duration_minutes,avg_fare,avg_tip_pct
5,Monday,7073,17.03280079174325,37.923787643149964,0.17672698996182667
5,Wednesday,7221,17.21894474449522,37.62947237224758,0.17730092784932827
5,Sunday,4945,15.504550050556118,41.31903538928206,0.1711931243680486
5,Thursday,7511,16.986553055518574,37.437829849553964,0.1827359872187458
6,Sunday,7333,14.639029046774853,39.34798990863216,0.16555025228419462
6,Friday,17442,17.021041165004014,31.90669361311781,0.18530271757825906
6,Saturday,8529,14.030249736194161,34.8904654707468,0.1700914526908195
6,Tuesday,18633,16.599098373852843,29.458213384854865,0.1846616218537001
6,Thursday,19833,16.205919427217264,29.076603640397355,0.18869459990924184
6,Monday,16979,17.63825902585547,32.15303374757058,0.17862594970257353
6,Wednesday,19248,16.018963009143807,28.778405029093957,0.18914796342477097
7,Wednesday,44010,14.943399227448307,24.940989320609056,0.20432197227902563
7,Monday,34553,16.24799583248922,27.467711631406956,0.19687205163082688
7,Thursday,43787,15.205768835499121,25.109813643318954,0.20584397195514487
7,Tuesday,40859,15.45586039795394,25.408422134658338,0.2020798355319499
7,Saturday,14396,13.103570436232287,31.28179702695193,0.18303556543484287
7,Sunday,11918,13.33998993119651,33.85053784191977,0.1780852492028864
7,Friday,36660,15.59833606110202,26.942092198581697,0.2000900163666109
8,Monday,47520,15.614499158249158,25.94379187710449,0.20338489057238854
8,Wednesday,60652,15.447800567170084,24.410066114885048,0.2078584383037627
8,Sunday,19390,12.34631253223311,28.91314595152143,0.1929834966477564
8,Friday,50482,15.150469474268055,25.55042609246874,0.20523988748464572
8,Saturday,24405,11.889121081745545,26.246211432083648,0.20047572218807558
8,Tuesday,56900,16.149929701230228,24.997545869947412,0.20638558875219448
8,Thursday,60855,15.644318461917672,24.6323864924822,0.20920762468161738
9,Friday,55267,15.573470606329273,26.106308466173424,0.20058733059510855
9,Saturday,38813,11.631334862030762,23.995611521912867,0.2047110504212491
9,Tuesday,60509,16.830587185377382,26.12947677205054,0.20103042522599676
9,Wednesday,63598,16.23464574357684,25.538906254913798,0.204200132079622
9,Monday,51359,15.856636616756557,27.087667984189842,0.2000605541385128
9,Sunday,31320,11.95389527458493,26.612879310344947,0.1998595146870997
9,Thursday,64781,16.402463685339836,25.81872493478037,0.20436825612447812
10,Friday,59386,16.30392685144647,26.661423062674803,0.196085777792743
10,Tuesday,60544,17.364197938689216,26.89488801532781,0.19704248150105447
10,Saturday,50762,12.028367676608486,23.27676470588247,0.20688960245852894
10,Wednesday,62701,17.090508923302657,26.746226854436216,0.1994748090142075
10,Monday,52870,15.974560242103273,27.396673349725834,0.1955000945715883
10,Sunday,43515,11.894771917729518,25.128748707342428,0.20663817074571744
10,Thursday,64594,17.278508839830323,26.94760148001373,0.19862169860977538
11,Thursday,67499,17.718958799389622,27.04348005155644,0.19532556037866947
11,Sunday,51982,12.459678350198146,24.562388519102893,0.207912161902194
11,Wednesday,65424,17.383956957691368,26.63111656272937,0.1967857361212984
11,Monday,54845,15.764171756769077,26.74409207767357,0.19495779013583478
11,Saturday,60758,12.809736989367655,23.363207149675894,0.2061190295928073
11,Tuesday,62409,17.260539345286738,26.419128811549733,0.1955980707910692
11,Friday,62048,16.416451779267664,26.39432197653446,0.19623920190819713
12,Thursday,72401,18.165743567077804,27.72827778621853,0.19539978729575236
12,Sunday,58435,13.635167279883632,25.650679729614254,0.20485000427825426
12,Wednesday,70492,17.56193610622482,27.147299126142084,0.19581796515916403
12,Monday,59236,15.514045512863799,27.020108380039286,0.1965036464312213
12,Tuesday,65087,17.036981271221595,26.965200577688456,0.1951873646042959
12,Saturday,70865,13.56233683764905,23.777617159387738,0.20369759401678866
12,Friday,66837,16.444559151368253,26.611822194293723,0.19589538728548217
13,Sunday,61949,14.980064246396228,27.246205749891182,0.2030893154046037
13,Saturday,73005,14.60402712143004,24.95035819464433,0.2020242449147283
13,Tuesday,66847,16.72420602270857,27.21580878723071,0.19656962915313755
13,Friday,68506,16.868274311739118,27.418446851370813,0.1967659767027674
13,Thursday,73588,18.3923601674186,28.568290889819114,0.1957937435451402
13,Monday,61607,16.3048192575519,28.236789975165326,0.195956952943656
13,Wednesday,71454,17.845495003778655,27.8102656254375,0.1965524673216305
14,Thursday,79909,19.353552165588358,29.483169104856884,0.19761115769187124
14,Friday,76321,18.30695352524207,28.5148504343498,0.1972214724649801
14,Saturday,74010,15.708431293068504,26.434094716930275,0.19974206188352572
14,Tuesday,73120,17.49991794310722,28.155555251641264,0.19800492341356335
14,Sunday,63597,16.048901677752095,28.65902794156974,0.20200905703098904
14,Monday,66997,17.282296222218907,29.389326984790557,0.1965695478902009
14,Wednesday,78455,18.68806322095469,28.611507743292442,0.19747281881332918
15,Thursday,83617,19.441070595692263,29.111925326189795,0.19888300226030278
15,Tuesday,75170,17.70347212983903,27.753355593987113,0.1995017959292236
15,Saturday,77629,16.189375104664492,26.45459634930262,0.19916062296306436
15,Friday,79389,18.711295015682275,28.268400786003266,0.19786821851893494
15,Sunday,62243,16.694278874732902,29.50671818517761,0.1997823048374888
15,Monday,69056,17.35197520852641,28.96651847775735,0.19717939063947776
15,Wednesday,80709,18.81601804011944,28.474485249476608,0.19945780520139916
16,Wednesday,82875,18.631770739064855,30.85469526395191,0.22700645550527745
16,Monday,68600,17.144854227405247,31.402109766764084,0.22074941690961694
16,Sunday,64009,16.78281179209174,29.532659157306206,0.20285366120389015
16,Saturday,82905,16.458597189554308,26.449836077438178,0.2008355346480882
16,Friday,79318,18.404485740941528,31.274386141859505,0.22298734209132567
16,Tuesday,74423,17.475283178587265,30.86444539994378,0.2282091557717335
16,Thursday,86119,19.423228323598742,31.80827784809412,0.22538870632496757
17,Wednesday,94437,17.082975952222117,28.995030125904222,0.23767315776655548
17,Monday,73639,15.746126373253304,29.34083841442732,0.23138377761783485
17,Sunday,63928,15.831497935177074,28.114998592166344,0.2037997434613908
17,Tuesday,85075,16.104825154275638,28.796600293858507,0.23820581839553395
17,Friday,87504,16.362543426586214,28.93076807917366,0.23301186231486629
17,Saturday,82423,16.257646530701383,25.833975468012724,0.20225798624170127
17,Thursday,96846,17.886913243706502,29.84039206575401,0.2349835821820232
18,Monday,75014,14.02616844855627,28.121220972085403,0.23704428506678504
18,Wednesday,98662,14.95394376761063,27.404918915083996,0.24448156331718823
18,Sunday,60882,15.09574258401498,27.98530173121795,0.20709158700436575
18,Tuesday,90562,14.162695170159669,26.986816324727986,0.2462517391400396
18,Saturday,83628,15.516920170277897,25.054922753144997,0.20398263739417108
18,Friday,91570,14.813847329911543,27.70274696953167,0.23646893087255832
18,Thursday,104893,15.538853879667853,27.886944600688448,0.24122677395060277
19,Wednesday,86148,13.857083159214374,27.870170520499755,0.24510876630914347
19,Monday,62934,13.26580226904376,29.30484364572428,0.23653398798741182
19,Thursday,92365,14.478936826720078,28.406714881178125,0.2425590862339658
19,Tuesday,77008,13.009388634947019,27.26665606170803,0.24890790567213747
19,Saturday,79899,15.197774690546815,25.130104131466094,0.20555526352019082
19,Friday,83877,14.112283462689414,27.779548743994326,0.24437008953586797
19,Sunday,49423,14.943042712906946,29.649532403941667,0.20555955729113765
20,Wednesday,78965,13.41883112771481,26.64790096878372,0.23280048122585578
20,Monday,57568,13.016814897165093,28.497712444413658,0.2262875208449092
20,Thursday,85681,14.219873717627012,27.366849943394733,0.22708243367840886
20,Saturday,68900,14.529840348330914,26.08392336719892,0.21423976777938514
20,Tuesday,70618,12.871194313064658,26.618111388031426,0.23311096321050742
20,Sunday,44910,14.24181696726787,30.834299710532246,0.21596481852593816
20,Friday,69318,13.994171787991576,26.76875284918785,0.21973542225683965
21,Thursday,88224,13.90960509611897,27.05915340496915,0.22730266140732427
21,Tuesday,71447,13.024549666186124,26.91124385908438,0.23146780130725722
21,Saturday,69644,14.232884383435758,26.037705904313448,0.21660516340244146
21,Friday,72869,14.186471613443302,26.926099575951426,0.21920899147785186
21,Sunday,41438,14.073628070852841,31.619609054491157,0.21607027366185444
21,Wednesday,77622,13.22460127283502,26.650093659014278,0.23171587951868888
21,Monday,52766,13.224879657355116,29.12572793086466,0.22586040253192924
22,Tuesday,53917,13.334866554148043,28.178318155683797,0.22598642357697526
22,Saturday,77122,14.690062498379191,26.52344674671304,0.2175897927958247
22,Friday,77380,14.653760661669683,27.10878444042391,0.21945295942103402
22,Monday,39363,14.078931991972157,32.14781622335706,0.2175578589030296
