pickup_year,pickup_month,total_trips,total_revenue,avg_fare,avg_distance,avg_duration,total_passengers,credit_card_trips,cash_trips
2024,1,2717041,74359693.76000386,27.367895353807274,3.3056267645574744,14.947680215351921,3679417,2270110,415621
2024,2,2713298,74193109.09000304,27.344253778981535,3.4235809299237085,15.33143760840129,3640745,2291858,389644
2024,3,2949732,83410915.45000498,28.277455528164925,3.5768765874323303,16.146474662782925,3984647,2476071,435839
